Symbol,Side,Qty,Fill Price,Commission,Closing Time
NASDAQ:ALTS,Buy,231.74086823,4.64,0,2025-09-08 12:50:01
NASDAQ:ASST,Buy,1440.92321502,1.47,0,2025-10-27 14:04:49
NASDAQ:ATO,Buy,60771.36225600001,38.0,0,2025-08-14 13:48:22
NASDAQ:BBAI,Buy,104.61165185,7.12,0,2025-11-13 12:00:57
NASDAQ:CAN,Buy,309.79817332,1.8,0,2025-10-23 17:38:11
NASDAQ:CIFR,Buy,205.75212704,13.44,0,2025-11-14 12:53:12
NASDAQ:EUNL,Buy,6.301823880000001,108.69,0,2025-11-14 12:42:33
NASDAQ:GRAB,Buy,147.19730123,5.82,0,2025-11-11 20:13:53
NASDAQ:HLLY,Buy,350.0,3.92,0,2025-11-10 15:12:26
NASDAQ:LAES,Buy,116.13770694000002,7.02,0,2025-10-17 12:37:56
NASDAQ:MOGU,Buy,30.784520470000015,8.19,0,2025-09-11 13:24:06
NASDAQ:MQ,Buy,85.16698501,6.83,0,2025-08-08 11:00:00
NASDAQ:NCEL,Buy,203.8459031,3.09,0,2025-09-30 11:02:56
NASDAQ:NOTE,Buy,112.42490000000001,0.648,0,2025-05-28 13:30:08
NASDAQ:PATH,Buy,41.0,19.07,0,2025-10-10 08:18:08
NASDAQ:PLUG,Buy,332.36724763999996,3.9,0,2025-10-08 10:31:38
NASDAQ:QLGN,Buy,124.21205254,7.27,0,2025-10-24 09:06:45
NASDAQ:SANA,Buy,184.63362149,6.27,0,2025-10-16 08:32:33
