Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Finra fee,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Deposit,2024-11-15 12:28:34,,,,"Transaction ID: BX9LBJKTTC9S8NX3",b36129a1-d02d-4404-9e92-7f4f9cb791bb,,,,,,,100.00,"EUR",,,100.70,"EUR",-0.70,"EUR",,,,
Market buy,2024-11-15 12:49:44,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",,EOF23506840357,0.1081281000,102.6550000000,EUR,1.00000000,,"EUR",11.10,"EUR",,,,,,,,,,
Market buy,2024-11-18 14:30:03,US5949724083,MSTR,"Strategy",,EOF23701931028,0.2500000000,346.0300000000,USD,1.05625763,,"EUR",82.02,"EUR",,,,,,,,0.12,"EUR",
Market sell,2024-11-18 14:32:08,US5949724083,MSTR,"Strategy",,EOF23704131134,0.2500000000,341.0000000000,USD,1.05638166,-1.20,"EUR",80.58,"EUR",,,,,,,,0.12,"EUR",
Market buy,2024-11-19 10:25:10,US69608A1088,PLTR,"Palantir",,EOF23750306594,1.6045110000,60.4700000000,USD,1.05599455,,"EUR",92.02,"EUR",,,,,,,,0.14,"EUR",
Market sell,2024-11-21 12:40:33,US69608A1088,PLTR,"Palantir",,EOF23806647610,1.6045110000,61.7900000000,USD,1.05247064,2.32,"EUR",94.06,"EUR",,,,,,,,0.14,"EUR",
Deposit,2024-11-28 06:31:13,,,,"Bank Transfer",f647822a-9ccd-44b8-9739-de4b7bb5abce,,,,,,,500.00,"EUR",,,,,,,,,,
Market buy,2024-11-28 15:07:24,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",,EOF24201853468,3.0031605000,104.3800000000,EUR,1.00000000,,"EUR",313.47,"EUR",,,,,,,,,,
Market buy,2024-11-28 15:07:24,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,EOF24201853471,1.1833290000,90.0425100000,GBP,0.83248623,,"EUR",128.18,"EUR",,,,,,,,0.19,"EUR",
Dividend (Dividend),2024-12-27 13:45:22,US67066G1040,NVDA,"Nvidia",,,3.5868813000,0.008500,USD,0.98397785,,,0.03,"EUR",0.01,USD,,,,,,,,
Market sell,2025-01-02 09:06:04,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",,EOF25900644514,2.7993668000,104.3950000000,EUR,1.00000000,22.05,"EUR",292.24,"EUR",,,,,,,,,,
Market sell,2025-01-02 09:06:05,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,EOF25900644522,5.1482640000,89.7975000000,GBP,0.82934401,63.81,"EUR",556.59,"EUR",,,,,,,,0.84,"EUR",
